termID	en-US	fr-FR
ACC_DEMO.ERRORS.DOB_NO_SELECTION_REQUIRED	No selection has been made. Please fill in the fields to complete your date of birth.	Aucune sélection n'a été faite. Veuillez remplir les champs pour compléter votre date de naissance.
ACC_DEMO.ERRORS.DOB_REQUIRED	Please fill in the missing fields to complete your date of birth.	Veuillez remplir les champs manquants pour terminer votre date de naissance.
ACC_DEMO.ERRORS.DECLARATION_REQUIRED	No selection has been made. Please make a selection to complete your declaration	Aucune sélection n'a été faite. Veuillez faire une sélection pour compléter votre déclaration
ACC_DEMO.ERRORS.DECLARATION_CUSTOM	You must agree to continue	Vous devez accepter de continuer
ACC_DEMO.STEPPER.STEP3	Work information	Informations professionnelles
ACC_DEMO.STEPPER.STEP4	Review & submit	Réviser et soumettre
ACC_DEMO.PERSONAL_INFO.ERROR_BANNER.TITLE	Missing information	Information manquante
ACC_DEMO.PERSONAL_INFO.ERROR_BANNER.CONTENT	There are unresolved errors below.	Il y a des erreurs non résolues ci-dessous.
ACC_DEMO.PERSONAL_INFO.H1	Personal information	Informations personnelles
ACC_DEMO.PERSONAL_INFO.BODY	Enter the correct information in the spaces below as it appears in your passport, travel or identity documents.	Entrez les informations correctes dans les espaces ci-dessous tels qu'il apparaît dans vos documents de passeport, de voyage ou d'identité.
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.LABEL	Family name (required)	Nom de famille (obligatoire)
ACC_DEMO.MORE_INFO	more information	Plus d'information
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.DESC	This is your surname or last name	Ceci est votre nom de famille ou votre nom
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.BANNER	If you do not have a family name, provide all your given names in the family name field and leave the given names field blank.	Si vous n'avez pas de nom de famille, fournissez tous vos noms donnés dans le champ de nom de famille et laissez le champ des noms donnés vide.
ACC_DEMO.PERSONAL_INFO.FAMILY_NAME_INPUT.BANNER_CLOSE	Family name info banner. Close	Bannière d'informations sur le nom de famille. Fermer
ACC_DEMO.PERSONAL_INFO.GIVEN_NAME_INPUT.LABEL	Given name	Prénom
ACC_DEMO.PERSONAL_INFO.GIVEN_NAME_INPUT.DESC	This is your first name and middle name, if applicable	Ceci est votre prénom et deuxième prénom, le cas échéant
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.LABEL	Sex at birth (required)	Sexe à la naissance (requis)
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.FEMALE	F - Female	F - femelle
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.MALE	M - Male	M - mâle
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.OTHER	X - Another sex	X - un autre sexe
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.BANNER	<p>This question is asked for identity verification purposes only. <br><br>Sex refers to your status at birth, and may not reflect your precise gender identity.</p>	<p>Cette question est posée à des fins de vérification d'identité uniquement. <br><br>Le sexe fait référence à votre statut à la naissance et peut ne pas refléter votre identité de genre précise.</p>
ACC_DEMO.PERSONAL_INFO.SEX_AT_BIRTH_RADIO.BANNER_CLOSE	Sex at birth info banner. Close	Bannière de sexe à la naissance des informations. Fermer
ACC_DEMO.PERSONAL_INFO.DATE_OF_BIRTH.LABEL	Date of birth (required)	Date de naissance
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.LABEL	Country/territory of birth (required)	Pays / territoire de naissance (requis)
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.CANADA	Canada	Canada
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.USA	United States of America	United States of America
ACC_DEMO.PERSONAL_INFO.COUNTRY_OF_BIRTH.OPTIONS.MEXICO	Mexico	Mexico
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.LABEL	City or town of birth (required)	Ville ou ville de naissance (requise)
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.OTTAWA	Ottawa	Ottawa
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.ST_JOHNS	St. John's	St. John's
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.VICTORIA	Victoria	Victoria
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.CANADA.CALGARY	Calgary	Calgary
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.TAMPA	Tampa Bay	Tampa Bay
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.WASHINGTON	Washington	Washington
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.NEW_YORK	New York	New York
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.USA.OAKLAND	Oakland	Oakland
ACC_DEMO.PERSONAL_INFO.CITY_OF_BIRTH.OPTIONS.MEXICO.MEXICO	Mexico City	Mexico City
ACC_DEMO.PERSONAL_INFO.DECLARATION.INLINE_LABEL	I declare that the above information is true and accurate.	Je déclare que les informations ci-dessus sont vraies et exactes.
ACC_DEMO.PERSONAL_INFO.DECLARATION.LABEL	Declaration (required)	Déclaration (requise)
ACC_DEMO.BUTTONS.PREVIOUS	Previous step	Étape précédente
ACC_DEMO.BUTTONS.NEXT	Save and continue	Sauvegarder et continuer
ACC_DEMO.BUTTONS.PREVIOUS_PAGE_NEXT	Next	Suivant
ACC_DEMO.BUTTONS.HAMBURGER	Menu	Menu
ACC_DEMO.BREADCRUMB_COMPONENT.ADDITIONAL_LINKS	Additional links	Liens supplémentaires
General.Placeholder	Select an option	Choisir une option
